returnOnEquity,Debt to Equity,PE ratio,Revenue Growth,operatingProfitMargin,Class
0.4218,0.0,23.6751,0.0713,1.0,1
0.6567,3.2901,11.3434,0.1752,1.0,1
0.1217,1.7494,19.107,0.062,1.0,1
0.1539,0.1045,11.8608,-0.0784,1.0,0
0.0813,0.8283,8.3983,0.0772,1.0,1
0.0748,0.3943,18.6008,0.146,1.0,1
0.546,1.4927,20.9615,0.035,1.0,0
0.3398,0.4553,13.9122,0.0961,1.0,0
0.0443,1.2915,59.12,0.1591,1.0,1
0.3917,0.0024,26.1718,0.1331,1.0,1
0.1463,0.3776,8.2168,3.3185,1.0,1
-0.3037,3.3098,0.0,-0.0902,1.0,1
0.0663,0.3918,11.75,0.8887,1.0,1
0.4245,2.1086,16.9544,0.0786,1.0,1
-0.1156,0.1815,0.0,0.1727,1.0,1
0.831,5.978,20.4266,-0.0412,1.0,1
-0.1462,1.9661,0.0,-0.1577,1.0,0
0.1846,0.7673,7.2347,0.2987,1.0,0
0.1441,0.4204,10.2699,0.2453,1.0,1
0.0446,0.0737,52.25,-0.0167,1.0,1
0.0809,1.0321,8.708,0.1061,1.0,1
2.2145,-6.1953,0.0,0.0126,1.0,1
0.1693,0.3984,13.9367,0.1547,1.0,0
-0.0519,0.7129,0.0,0.1324,1.0,0
0.1152,1.1358,12.6767,0.0813,1.0,1
0.1065,0.4477,7.4888,-0.0121,1.0,1
0.1652,2.0443,24.2366,-0.0239,1.0,1
0.1741,0.8891,3.4097,0.8303,1.0,0
0.1481,1.3385,12.5135,0.1058,1.0,1
0.1625,0.3566,10.8814,0.1403,1.0,1
0.212,1.9704,10.8318,0.0931,1.0,1
1.5574,3.7988,9.4369,0.0407,1.0,0
0.0013,0.4026,7.0069,0.0005,1.0,0
0.0134,0.7149,112.2903,0.1863,1.0,1
0.2586,1.5603,12.8137,0.0737,1.0,1
0.2098,3.7434,17.7875,0.2562,1.0,1
-0.1973,0.6034,0.0,0.0074,1.0,0
0.2668,0.5872,17.88,0.2403,1.0,0
